Disease,Protein
D131200,Q15327
D131200,Q6UX06
D131200,Q8IWU5
D131200,Q6UWF9
D131200,P52895
D131200,P04150
D131200,P35408
D131200,P15514
D131200,Q13451
D131200,P16471
D131200,Q92769
D131200,O15439
D131200,P20396
D131200,P08235
D131200,Q06330
D131200,Q15648
D131200,O14732
D131200,P22413
D131200,P14384
D131200,Q04828
D131200,P10827
D131200,Q9UJM3
D131200,Q9UII4
D131200,O60244
D131200,P15260
D131200,P49798
D131200,Q13352
D131200,P37059
D131200,P49908
D131200,Q14515
D131200,Q13219
D131200,P62736
D131200,P07197
D131200,P42330
D131200,Q9H295
D131200,Q8WY64
D131200,P40933
D131200,P49116
D131200,P14778
D131200,P08833
D131200,P29536
D131200,Q9Y2C2
D131200,P11511
D131200,Q96QR1
D131200,Q7Z7G0
D131200,P51671
D131200,P00746
D131200,Q14995
D131200,Q9HBX9
D131200,O00626
D131200,O95832
D131200,P07942
D131200,O15403
D131200,P22352
D131200,P27540
D131200,Q8WUM9
D131200,P21554
D131200,O60486
D131200,P17301
D131200,P09758
D131200,P00736
D131200,Q9NP59
D131200,Q15762
D131200,P05019
D131200,P00533
D131200,Q99518
D131200,Q13547
D131200,P15121
D131200,Q16288
D131300,Q9HBG6
D131300,P01137
D131440,P40189
D131440,P05113
D131440,P04637
D131440,O60603
D131440,Q03112
D131440,O60674
D131440,Q9H0F6
D131440,P11362
D131440,P40238
D131440,Q9P0R6
D131440,P11274
D131440,P23771
D131440,O14746
D131440,Q96BY7
D131440,P27797
D131440,Q9NVK5
D131440,Q9UBW7
D131440,O00206
D131440,P09619
D131440,Q99836
D131440,P55895
D132090,Q5JUK3
D132100,Q02318
D133239,Q9UBG3
D133239,O43623
D133239,Q96GV9
D133239,P09493
D133239,P29474
D133239,P10415
D133239,Q14790
D133239,P17931
D133239,P35228
D133239,Q06830
D133239,Q9NZC7
D133239,Q13002
D133239,P49411
D133239,P21980
D133239,P00519
D133239,P05091
D133239,P09919
D133239,P08581
D133239,P35232
D133239,P04637
D133239,P37173
D133239,P29508
D133239,P35354
D133239,P40394
D133239,O60262
D133239,Q9UKT5
D133239,P43146
D133239,Q9Y250
D133239,Q99759
D133239,Q9UBU3
D133239,O43542
D133239,P04406
D133239,P02511
D133239,P11511
D133239,P50281
D133239,P60709
D133239,P48431
D133239,P00325
D133239,Q12802
D133239,Q9Y5W5
D133239,Q16548
D133239,Q8N726
D133239,P98170
D133239,P08183
D133239,P67936
D133239,Q92482
D133239,O43174
D133239,P04626
D133239,P06733
D133239,P19875
D133239,P13640
D133239,O75469
D133239,Q7Z4G4
D133239,Q9Y252
D133239,Q13761
D133239,Q07812
D133239,Q9BXH1
D133239,Q8NEW0
D133239,Q9NRG4
D133239,P31947
D133239,P61278
D133239,Q5T0T0
D133239,P32119
D133239,O00220
D133239,P04179
D133239,P16050
D133239,P00533
D133239,P55290
D133239,P35968
D133239,Q9UHC1
D133239,P23219
D133239,P51946
D133239,P09936
D133239,P24385
D133239,Q9NS64
D133690,Q5JWF2
D133690,Q13485
D133690,Q8WW35
D133690,P56524
D134430,P08709
D134430,P00451
D134430,P00740
D134500,P00451
D134500,P00740
D134510,P00451
D134510,P00740
D134520,P00451
D134520,P00740
D135550,P58335
D135550,Q13255
D137215,Q13286
D137215,Q7Z7B0
D137215,P62753
D137215,P49788
D137215,P18075
D137215,Q15831
D137215,O15551
D137215,O00488
D137215,O43678
D137215,P08581
D137215,P01350
D137215,P68104
D137215,Q8NC51
D137215,P19971
D137215,O00567
D137215,P35354
D137215,Q07817
D137215,O43364
D137215,Q15726
D137215,O43818
D137215,Q12983
D137215,P38936
D137215,P47928
D137215,Q9BQE3
D137215,P18887
D137215,O43240
D137215,P53708
D137215,O15392
D137215,P61313
D137215,Q12765
D137215,Q68DV7
D137215,P62841
D137215,P00918
D137215,P25116
D137215,Q9P1U0
D137215,P09237
D137215,Q10570
D137215,Q9Y5W5
D137215,Q6V0I7
D137215,Q9BYZ8
D137215,Q9UK53
D137215,P42336
D137215,O95071
D137215,Q9BT92
D137215,P62854
D137215,P25054
D137215,O75915
D137215,Q13315
D137215,Q9NQT4
D137215,P30153
D137215,P12830
D137215,P05787
D137215,A2RRP1
D137215,P12643
D137215,Q9Y6R7
D137215,P46527
D137215,P55273
D137215,P15941
D137215,Q99612
D137215,P26885
D137215,P09211
D137215,Q9BYD1
D137215,P02753
D137215,Q9HC78
D137215,P18074
D137215,P01116
D137215,P01375
D137215,Q6W4X9
D137215,P01112
D137215,P19022
D137215,P05412
D137215,P05771
D137215,Q9ULZ3
D137215,P43004
D137215,P40763
D137215,P21860
D137215,P30084
D137215,P24522
D137215,P45877
D137215,P05120
D137215,Q07011
D137215,P24385
D137215,Q13131
D137215,P28482
D137215,Q6GPH4
D137215,Q8N6H7
D137215,P08588
D137215,O60427
D137215,Q16674
D137215,P05231
D137215,P02768
D137215,P12277
D137215,Q13228
D137215,Q9NZC7
D137215,P68032
D137215,O96017
D137215,P26232
D137215,P13598
D137215,P35232
D137215,Q8NEZ4
D137215,Q9BR84
D137215,Q9H3H5
D137215,P06753
D137215,P10145
D137215,P07204
D137215,P27695
D137215,P05121
D137215,P19883
D137215,P05062
D137215,O43542
D137215,P10071
D137215,P11802
D137215,Q9Y478
D137215,Q99541
D137215,P63220
D137215,Q07864
D137215,P26367
D137215,P26358
D137215,P24001
D137215,Q16610
D137215,O94886
D137215,P09238
D137215,P35221
D137215,Q92804
D137215,P10826
D137215,O14497
D137215,Q9HCG1
D137215,P04626
D137215,P04155
D137215,Q8IW45
D137215,P02647
D137215,P04792
D137215,Q96EP1
D137215,Q96QB1
D137215,P35869
D137215,P55957
D137215,P08908
D137215,Q92851
D137215,P08758
D137215,Q16531
D137215,P02795
D137215,Q04721
D137215,P12821
D137215,P62937
D137215,P35625
D137215,Q9UM63
D137215,O15427
D137215,Q04323
D137215,Q9BXG8
D137215,P09917
D137215,P23560
D137215,P35326
D137215,Q99075
D137215,Q92797
D137215,P02679
D137215,Q92754
D137215,P53597
D137215,P29474
D137215,Q9UBW8
D137215,P49789
D137215,Q9NS71
D137215,P17931
D137215,Q14790
D137215,P09467
D137215,O60565
D137215,Q13421
D137215,Q03135
D137215,Q13360
D137215,P20591
D137215,P18669
D137215,Q15257
D137215,P06748
D137215,Q12772
D137215,P04156
D137215,P04637
D137215,Q9BTV5
D137215,Q9H6B9
D137215,Q9ULW3
D137215,P17661
D137215,P35398
D137215,P49419
D137215,O76096
D137215,P15514
D137215,Q9P0L2
D137215,P28702
D137215,Q13535
D137215,P27361
D137215,P47895
D137215,Q9BZM5
D137215,Q9Y2Y1
D137215,P37231
D137215,Q14137
D137215,O43837
D137215,P07550
D137215,P17936
D137215,P53634
D137215,P10914
D137215,O15119
D137215,Q14213
D137215,P40692
D137215,Q99832
D137215,P07711
D137215,Q05639
D137215,Q9UKU7
D137215,Q9H3N8
D137215,P49821
D137215,Q03164
D137215,Q96PB8
D137215,P41273
D137215,P16070
D137215,P06733
D137215,P08559
D137215,P08648
D137215,P30043
D137215,Q9Y2T1
D137215,P58340
D137215,O15213
D137215,P30044
D137215,P01037
D137215,Q9UIF7
D137215,Q969F8
D137215,P02771
D137215,P18510
D137215,Q13485
D137215,P14866
D137215,Q6VN20
D137215,O43653
D137215,P01135
D137215,P23470
D137215,P04179
D137215,Q9UMS4
D137215,Q12882
D137215,Q9P2T1
D137215,P08887
D137215,P04818
D137215,O43312
D137215,Q92567
D137215,Q9Y5X3
D137215,Q15672
D137215,Q9UBC3
D137215,P06241
D137215,P09601
D137215,Q9Y676
D137215,P21802
D137215,P01584
D137215,Q86YD1
D137215,O95382
D137215,P50052
D137215,Q9Y606
D137215,Q13490
D137215,P82912
D137215,P00749
D137215,P43246
D137215,P42330
D137215,Q8N8Y2
D137215,P41220
D137215,P09455
D137215,P45983
D137215,P01106
D137215,Q9Y4H2
D137215,Q9Y2B0
D137215,P07992
D137215,P28331
D137215,P01009
D137215,Q9BTM9
D137215,P39019
D137215,Q8N726
D137215,Q12931
D137215,P42898
D137215,O14522
D137215,Q53FT3
D137215,P11509
D137215,Q96GD4
D137215,P21589
D137215,P35900
D137215,P10586
D137215,P10809
D137215,O95863
D137215,P26373
D137215,Q16270
D137215,Q13761
D137215,P11172
D137215,Q9P212
D137215,P00915
D137215,Q9UQ80
D137215,Q8NHZ7
D137215,P15056
D137215,P28360
D137215,P20645
D137215,Q96PD2
D137215,P48147
D137215,P51790
D137215,P11142
D137215,P00533
D137215,P14678
D137215,O14494
D137215,Q07020
D137215,Q92560
D137215,P54725
D137215,P61586
D137580,P35462
D137580,O14647
D137580,P19113
D137580,Q96PX8
D137750,P51636
D137750,P35354
D137750,Q96CV9
D137750,Q8NI36
D137750,Q9UM00
D137750,Q9NNW7
D137750,Q53EP0
D137750,Q12948
D137750,Q99700
D137750,Q16678
D137750,Q03135
D137750,Q99972
D137760,P35354
D137760,Q96CV9
D137760,P51636
D137760,Q8NI36
D137760,Q9UM00
D137760,Q9NNW7
D137760,Q53EP0
D137760,Q12948
D137760,Q99700
D137760,Q03135
D137760,Q99972
D137760,Q13625
D137800,P35226
D137800,P04040
D137800,Q96PU8
D137800,Q96RK0
D137800,P02786
D137800,O15197
D137800,P51617
D137800,P21926
D137800,O15151
D137800,P51812
D137800,P39905
D137800,Q13002
D137800,P08581
D137800,Q05D60
D137800,P29459
D137800,P35354
D137800,Q9BXP5
D137800,P11388
D137800,Q14134
D137800,P18887
D137800,P01133
D137800,P42772
D137800,Q86Y01
D137800,P27986
D137800,Q04771
D137800,Q96RU7
D137800,Q04206
D137800,P42336
D137800,P15692
D137800,P25054
D137800,Q13315
D137800,Q9UGM3
D137800,O60885
D137800,Q9Y6Q9
D137800,Q9UJY1
D137800,Q99612
D137800,P09211
D137800,P01375
D137800,P54278
D137800,P01116
D137800,P05771
D137800,P01112
D137800,P84243
D137800,Q6DT37
D137800,P01040
D137800,P08253
D137800,P08922
D137800,Q9NRM7
D137800,P14616
D137800,Q9BXM7
D137800,Q9UM73
D137800,Q6GPH4
D137800,Q00526
D137800,Q15119
D137800,Q9NUX5
D137800,Q9Y243
D137800,P09038
D137800,O95835
D137800,Q8N3U4
D137800,P10242
D137800,Q96AE4
D137800,P16455
D137800,P04439
D137800,Q00534
D137800,P43235
D137800,P36222
D137800,P16104
D137800,Q14517
D137800,P10321
D137800,P60568
D137800,Q92731
D137800,P10145
D137800,Q15746
D137800,P07858
D137800,P51679
D137800,Q9HCM3
D137800,P11362
D137800,Q16620
D137800,Q8IZX4
D137800,P15408
D137800,Q9UBT6
D137800,Q63ZE4
D137800,P48735
D137800,P04626
D137800,O75376
D137800,P14210
D137800,Q9UBE8
D137800,Q96K58
D137800,P25440
D137800,P06276
D137800,Q16828
D137800,Q04721
D137800,P02751
D137800,P42345
D137800,P82970
D137800,P78504
D137800,Q05397
D137800,Q6J9G0
D137800,P17252
D137800,P17861
D137800,O94806
D137800,O75874
D137800,P10451
D137800,Q9NYI0
D137800,P14780
D137800,O75460
D137800,P29590
D137800,P05090
D137800,O14503
D137800,P20336
D137800,P11309
D137800,Q01196
D137800,P04637
D137800,Q92630
D137800,P50591
D137800,Q9UM47
D137800,Q96AG4
D137800,P51841
D137800,P01889
D137800,Q13535
D137800,P42773
D137800,O95365
D137800,Q8N653
D137800,Q9UBP5
D137800,Q12888
D137800,O95990
D137800,Q86UU1
D137800,Q86UB9
D137800,Q9NZ71
D137800,Q9Y219
D137800,Q9UQB3
D137800,P51587
D137800,P68431
D137800,O14746
D137800,P04080
D137800,Q9NYJ7
D137800,P08254
D137800,Q9UPN9
D137800,Q8WUZ0
D137800,O43490
D137800,Q9UGI8
D137800,P02794
D137800,P29323
D137800,P60484
D137800,P46531
D137800,Q00987
D137800,P21359
D137800,P01584
D137800,Q96GV9
D137800,O60934
D137800,P00441
D137800,Q92597
D137800,Q16644
D137800,C9JLR9
D137800,P51795
D137800,P21980
D137800,P10243
D137800,Q8N2S1
D137800,P78362
D137800,P43246
D137800,Q6ZU15
D137800,Q06124
D137800,Q16665
D137800,Q14469
D137800,P19544
D137800,P21741
D137800,Q9Y5J3
D137800,Q8NE28
D137800,P04049
D137800,P45983
D137800,P46100
D137800,P01106
D137800,P16234
D137800,P29460
D137800,P14415
D137800,Q92911
D137800,Q8N726
D137800,P24941
D137800,O15297
D137800,Q7Z4G4
D137800,P16949
D137800,Q15022
D137800,Q13761
D137800,P10275
D137800,P03372
D137800,P15056
D137800,P57059
D137800,Q9BSG5
D137800,P51788
D137800,O60260
D137800,P51790
D137800,Q969H0
D137800,P53350
D137800,P00533
D137800,P04629
D137800,P01563
D137800,Q9Y485
D137800,P30711
D137800,P51946
D137800,Q16288
D137800,O95980
D138800,Q9UPY3
D138800,Q14145
D140300,P16410
D140300,P16473
D140300,P01266
D140300,Q9P243
D140300,P09871
D140300,Q96P31
D140600,Q8WUM4
D140600,P80162
D140600,P22004
D140600,P42765
D140600,P20618
D140600,Q9C040
D140600,P08123
D140600,P48307
D140600,P11166
D140600,Q96D15
D140600,Q9UKX3
D140600,Q15109
D140600,P20264
D140600,P04406
D140600,Q12765
D140600,P06881
D140600,Q8IZP9
D140600,P16444
D140600,P02792
D140600,P13639
D140600,P30153
D140600,P13637
D140600,P13804
D140600,Q13326
D140600,P40939
D140600,Q16891
D140600,O00299
D140600,P02458
D140600,P27348
D140600,P43235
D140600,P36222
D140600,Q16881
D140600,Q9Y696
D140600,O94788
D140600,Q9Y2Q3
D140600,P21399
D140600,Q15436
D140600,P31040
D140600,Q9NS15
D140600,O00217
D140600,P48735
D140600,O43854
D140600,P19875
D140600,P13797
D140600,P22392
D140600,Q16555
D140600,P07339
D140600,P51178
D140600,O00560
D140600,Q9HBA0
D140600,P10909
D140600,O00571
D140600,P08670
D140600,Q13950
D140600,P26447
D140600,P50213
D140600,P26038
D140600,P52895
D140600,P62826
D140600,O76093
D140600,P37231
D140600,Q9UN19
D140600,Q14764
D140600,P21281
D140600,P27144
D140600,P49821
D140600,P15311
D140600,P06733
D140600,O60313
D140600,P08559
D140600,Q04828
D140600,P12644
D140600,P04179
D140600,Q96AB3
D140600,Q92765
D140600,Q8IVL6
D140600,P01584
D140600,P84022
D140600,P21980
D140600,P12110
D140600,P45880
D140600,O95150
D140600,P43026
D140600,P10768
D140600,P60709
D140600,P49747
D140600,P01137
D140600,Q9BXN1
D140600,O94925
D140600,Q12931
D140600,O15232
D140600,O00469
D140600,Q6NVY1
D140850,P46937
D140850,O75874
D140850,P60484
D140850,P48735
D143100,P21554
D143100,Q9NR28
D143100,P78509
D143100,P17677
D143100,P21397
D143100,Q9UHH9
D143100,O00519
D143100,P53805
D143100,P11169
D143100,Q99808
D143100,P39905
D143100,Q8IZ57
D143100,P42858
D143100,P27338
D143100,O95831
D143100,P22466
D143100,O15527
D143465,Q9Y2X7
D143465,Q96RK0
D143465,P23468
D143465,Q13255
D143465,Q9UHV7
D143465,Q14831
D143465,Q8IWU9
D143465,O60281
D143465,Q9NYX4
D143465,P25103
D143465,P21917
D143465,Q9HBK9
D143465,Q9HAR2
D143465,O00222
D143465,P21918
D143465,P08842
D143465,P41594
D143465,P21554
D143465,P98174
D143465,P17787
D143465,P14416
D143465,P21964
D143465,Q01959
D143465,P43681
D143500,P22309
D143880,P30988
D143880,P01375
D143880,P41180
D143880,O00300
D143880,O15528
D143880,Q07973
D143880,O14788
D143880,P05231
D143880,P06881
D143880,P12272
D143880,P01270
D143880,Q06495
D143880,Q9UEF7
D144010,P11597
D144010,P02656
D144010,P04114
D144010,P27169
D144010,P11150
D144010,P02649
D144010,P06858
D144010,O95477
D144010,P04035
D144010,Q15165
D144010,P01130
D144010,P02652
D144650,Q6Q788
D144700,Q96Q40
D144700,P30086
D144700,P07741
D144700,O15327
D144700,P11177
D144700,P40337
D144700,Q96M86
D144700,Q8N490
D144700,Q9HB75
D144700,P08581
D144700,P09525
D144700,Q9H0R1
D144700,Q7Z5L0
D144700,P35354
D144700,P11166
D144700,Q5S007
D144700,Q9NZ56
D144700,O15392
D144700,Q6SJ93
D144700,P35680
D144700,O15090
D144700,Q04206
D144700,P08034
D144700,P42336
D144700,Q14145
D144700,Q12866
D144700,Q8WXH0
D144700,P49815
D144700,P13639
D144700,Q13315
D144700,Q09666
D144700,P05787
D144700,Q9BVS4
D144700,P00352
D144700,Q6N021
D144700,P09211
D144700,Q15848
D144700,P40121
D144700,Q9GZM5
D144700,P21817
D144700,P41229
D144700,Q8WTV0
D144700,P35240
D144700,Q9H254
D144700,P00558
D144700,Q8NGP0
D144700,P35916
D144700,O15550
D144700,Q9UM73
D144700,Q7L2R6
D144700,Q7Z407
D144700,Q99439
D144700,Q96CA5
D144700,P32004
D144700,P12081
D144700,P05231
D144700,O75204
D144700,Q96SL1
D144700,O15527
D144700,Q14532
D144700,P59046
D144700,P07858
D144700,Q9H0V9
D144700,P38646
D144700,Q12802
D144700,P20823
D144700,A6NI15
D144700,Q14451
D144700,P19532
D144700,P22303
D144700,Q99102
D144700,Q92574
D144700,O14497
D144700,P04626
D144700,P78395
D144700,P04792
D144700,P50914
D144700,O95185
D144700,P06276
D144700,P07339
D144700,P53355
D144700,Q8NEV4
D144700,P42345
D144700,P36894
D144700,P09917
D144700,Q9BYW2
D144700,Q8WU17
D144700,Q9NZR2
D144700,P35225
D144700,O75460
D144700,Q9BYP7
D144700,O14727
D144700,O75030
D144700,Q9C098
D144700,Q92733
D144700,P04637
D144700,P50591
D144700,Q8IVL0
D144700,Q14201
D144700,Q9UPZ9
D144700,P02511
D144700,Q9Y566
D144700,P20472
D144700,O14772
D144700,Q96HF1
D144700,Q14999
D144700,Q6GMR7
D144700,O75342
D144700,P24394
D144700,P01189
D144700,P78560
D144700,P04179
D144700,Q6P996
D144700,P60484
D144700,P35968
D144700,P08887
D144700,Q02763
D144700,P17948
D144700,Q99814
D144700,Q03154
D144700,Q8NFG4
D144700,P07195
D144700,Q92597
D144700,P21980
D144700,Q9Y646
D144700,Q8WXK1
D144700,P29762
D144700,P45983
D144700,Q15369
D144700,P09488
D144700,Q15059
D144700,Q01973
D144700,Q13153
D144700,P55197
D144700,P08729
D144700,Q12791
D144700,P10809
D144700,Q9BXL7
D144700,Q86U86
D144700,Q7Z570
D144700,P42575
D144700,P20645
D144700,P37802
D144700,P01563
D144700,P13716
D144700,P30711
D144700,Q92560
D145200,P35869
D145200,P46776
D145200,Q9BZD2
D145500,O15539
D145500,P01019
D145500,Q16647
D145500,P05026
D145500,P35611
D145500,P29474
D145500,P35228
D145500,P30556
D145500,Q9NYX4
D145500,P16520
D145500,P42892
D145500,P20815
D145590,Q86U10
D145590,P01584
D145590,P05231
D145590,P09919
D145590,P01225
D145590,Q8IWU9
D145590,P35354
D145590,P29475
D145590,P60568
D145590,P10145
D145590,P19438
D145590,P06307
D145590,P01148
D145590,P09429
D145590,P08183
D145590,P01583
D145590,P01236
D145590,P28223
D145590,Q03426
D145590,O14684
D145590,P01178
D145590,P35372
D145590,P08908
D145590,P01375
D145590,P06850
D145590,P18510
D145590,P01579
D145590,P40763
D145590,P01189
D145590,O00220
D145590,P04179
D145590,P01563
D145600,Q13698
D145600,P21817
D146110,Q9UHF0
D146110,P29371
D146110,P30530
D146110,P01225
D146110,Q9BZH6
D146110,P41159
D146110,O15041
D146110,P28340
D146110,Q9C004
D146110,P11511
D146110,P0DN86
D146110,P51843
D146110,P01148
D146110,P48357
D146110,P11362
D146110,Q6ZP82
D146110,Q9P2D1
D146110,A0PJY2
D146110,Q9HD15
D146110,P01236
D146110,Q9BZD2
D146110,O60258
D146110,P01229
D146110,P30968
D146110,Q9NZU0
D146110,Q16828
D146110,Q9NW08
D146110,P05093
D146110,Q8NFM7
D146255,P31270
D146255,P50539
D146255,Q9BZE0
D146255,P35368
D146255,P09919
D146255,P13942
D146255,P35354
D146255,P01019
D146255,P05305
D146255,Q96D42
D146255,P38936
D146255,Q9NWX6
D146255,P01133
D146255,Q8TDI8
D146255,P10632
D146255,P35579
D146255,P48431
D146255,P48357
D146255,Q7Z4L5
D146255,Q92824
D146255,P09874
D146255,Q07869
D146255,Q8NEA6
D146255,P30556
D146255,P82251
D146255,P09211
D146255,P22736
D146255,P02753
D146255,P13716
D146255,Q9ULZ3
D146255,Q9NPC8
D146255,O15244
D146255,P17405
D146255,P09486
D146255,Q8N2K0
D146255,Q9H4A3
D146255,Q68CZ1
D146255,P29466
D146255,P50440
D146255,P01034
D146255,P02768
D146255,P09038
D146255,P07911
D146255,Q7L1I2
D146255,P00797
D146255,Q9NSU2
D146255,Q15493
D146255,P02458
D146255,Q9UBR4
D146255,Q16619
D146255,P04083
D146255,P56705
D146255,Q7LG56
D146255,P23771
D146255,O00303
D146255,Q9UEF7
D146255,P15559
D146255,P41180
D146255,P04839
D146255,P07339
D146255,P29033
D146255,P12821
D146255,O95294
D146255,O75712
D146255,P10909
D146255,P20815
D146255,P10451
D146255,P61769
D146255,P20849
D146255,P35228
D146255,Q96TA2
D146255,P98164
D146255,Q9HBG6
D146255,P02671
D146255,P80188
D146255,Q16236
D146255,Q8TDJ6
D146255,P05937
D146255,Q96E66
D146255,P01588
D146255,O14746
D146255,P18510
D146255,P01189
D146255,O43567
D146255,Q9H8M5
D146255,P04179
D146255,P16066
D146255,Q13158
D146255,P78411
D146255,P31277
D146255,P47944
D146255,P05549
D146255,P62736
D146255,P25106
D146255,Q07654
D146255,P60709
D146255,P01137
D146255,Q9Y4F9
D146255,Q96FL8
D146255,P55017
D146255,O60500
D146255,P42898
D146255,P15090
D146255,Q86SG6
D146255,P05164
D146255,P11487
D146255,O43511
D146255,P05019
D146255,O95760
D146500,P35372
D146500,Q9Y2Z4
D146500,P08183
D146500,Q9Y606
D146500,P41143
D147480,O43520
D147480,P01375
D147480,O95342
D147480,P21439
D147480,Q9H221
D147480,P19320
D147480,Q96RI1
D147480,Q92887
D147530,P34969
D147530,P35225
D147530,O75762
D147530,P01185
D147530,P16860
D147530,P14780
D147530,P15248
D147530,P19634
D147530,O60341
D147530,P02768
D147530,P04141
D147530,Q9NRI5
D147530,Q9NQ66
D147530,Q05586
D147530,Q8NER1
D147530,P30989
D147530,P09919
D147530,P46663
D147530,O15527
D147530,P02458
D147530,P01042
D147530,P29972
D147530,P41159
D147530,Q00266
D147530,P54289
D147530,P05305
D147530,P60568
D147530,P35354
D147530,P41145
D147530,Q16659
D147530,Q16665
D147530,Q9GZZ0
D147530,O95264
D147530,O43612
D147530,P01137
D147530,Q16236
D147530,P26651
D147530,P20396
D147530,O00180
D147530,P04198
D147530,P35367
D147530,P42336
D147530,Q13519
D147530,P31749
D147530,Q8WXF3
D147530,P35318
D147530,P20366
D147530,P30411
D147530,Q8TCW9
D147530,P04792
D147530,P14210
D147530,O60885
D147530,P30793
D147530,P01282
D147530,P01130
D147530,Q9NQB0
D147530,P21554
D147530,P01178
D147530,P08908
D147530,P01213
D147530,P01210
D147530,P06850
D147530,P01375
D147530,P18510
D147530,P14416
D147530,P01160
D147530,P01189
D147530,P21964
D147530,P16066
D147530,Q02297
D147530,P01563
D147530,Q92954
D147530,P43220
D147530,P09601
D147530,P24385
D147540,P09341
D147540,P10451
D147540,P35225
D147540,P40189
D147540,P04798
D147540,P01584
D147540,P01911
D147540,P78423
D147540,P80075
D147540,P51686
D147540,P29466
D147540,P27930
D147540,P05231
D147540,P02768
D147540,P02776
D147540,P25025
D147540,P13762
D147540,P01909
D147540,P01042
D147540,P78556
D147540,P05112
D147540,Q99731
D147540,P16109
D147540,Q30154
D147540,P14778
D147540,P51684
D147540,P01889
D147540,Q15746
D147540,P42830
D147540,Q92583
D147540,P01137
D147540,P49682
D147540,P19438
D147540,P51671
D147540,Q02413
D147540,P02775
D147540,P00738
D147540,O00175
D147540,Q14116
D147540,P20333
D147540,P42898
D147540,Q01344
D147540,P20366
D147540,P41597
D147540,Q16552
D147540,P13236
D147540,Q9UMR7
D147540,P01375
D147540,Q14005
D147540,P10147
D147540,Q8NE71
D147540,P01579
D147540,P80098
D147540,Q07325
D147540,P15509
D147540,P05107
D147540,P13500
D147540,P32246
D147540,P29965
D147540,P52564
D147540,Q9NZQ7
D147540,P14784
D147540,P01920
D147540,Q8N668
D148000,P05231
D148100,P02679
D148100,Q969H8
D148100,P09493
D148100,P05109
D148100,P02768
D148100,P52565
D148100,Q06830
D148100,P26447
D148100,P60903
D148100,P06702
D148100,O00299
D148100,P07737
D148100,P20908
D148100,Q01995
D148100,P02461
D148100,P62826
D148100,P29762
D148100,P14174
D148100,Q9BXN1
D148100,P58012
D148100,Q8TDY3
D148100,P20231
D148100,P46934
D148100,P02792
D148100,P09382
D148100,P36952
D148100,P02452
D148100,P02042
D148100,P14649
D148100,P40121
D148100,P31947
D148100,P02794
D148100,P32119
D148100,P36955
D148100,P63241
D150600,P02458
D150699,P52926
D150699,P03372
D150699,Q8N474
D150699,Q9H1J7
D150699,P49815
D150699,P08476
D150699,P84022
D151400,P02786
D151400,Q13794
D151400,O75533
D151400,Q16769
D151400,P41182
D151400,Q15306
D151400,Q9NUX5
D151400,Q01081
D151400,P10415
D151400,Q13489
D151400,P05231
D151400,Q969Q4
D151400,Q13342
D151400,Q01130
D151400,P04637
D151400,P43405
D151400,P35354
D151400,O94887
D151400,Q92547
D151400,Q9UJU2
D151400,Q9Y6Q6
D151400,Q9BZL6
D151400,Q15696
D151400,P06746
D151400,P01106
D151400,P62841
D151400,Q96LC9
D151400,P11473
D151400,Q13362
D151400,Q08999
D151400,Q99572
D151400,Q9P2W6
D151400,P42336
D151400,Q13315
D151400,P13612
D151400,P42898
D151400,O14788
D151400,Q9NUZ1
D151400,P59901
D151400,O00221
D151400,O14980
D151400,O43908
D151400,P16885
D151400,P06127
D151400,P15056
D151400,Q9UHD0
D151400,Q9UKT9
D151400,Q9BZB8
D151400,Q06187
D151400,P24385
D152700,P16410
D152700,P10451
D152700,P04040
D152700,P22301
D152700,Q8IV61
D152700,P51617
D152700,P01911
D152700,O75626
D152700,P68036
D152700,O95267
D152700,Q8N697
D152700,P05231
D152700,Q9NSU2
D152700,P20023
D152700,P36402
D152700,Q86VZ6
D152700,P51608
D152700,P14921
D152700,P51451
D152700,P01909
D152700,P11215
D152700,P35354
D152700,P0C0L4
D152700,P05112
D152700,Q7Z7A4
D152700,Q15025
D152700,P41240
D152700,O00115
D152700,P21580
D152700,Q9NWZ3
D152700,P06681
D152700,P29460
D152700,P12318
D152700,Q9HBE5
D152700,P0C0L5
D152700,Q9BYX4
D152700,P14598
D152700,O75015
D152700,O43699
D152700,Q15116
D152700,P09871
D152700,P01236
D152700,O14746
D152700,P02746
D152700,Q9H244
D152700,P02745
D152700,P31994
D152700,P02741
D152700,Q14765
D152700,Q8NDB2
D152700,Q9H6A9
D152700,P00751
D152700,Q13568
D152700,Q2KHT3
D152700,Q13609
D152700,P00736
D152700,P10909
D152700,Q15762
D152700,Q13422
D152700,Q9H4E7
D152700,Q9HBE4
D152700,P23510
D152700,P24855
D152700,O60602
D152700,Q9P1Y6
D152700,Q6BDS2
D152700,Q8IZA0
D152700,Q9Y2R2
D152700,P12429
D152700,O43759
D152700,Q9UQQ2
D153880,Q00604
D153880,P15692
D154276,Q13698
D154276,P21817
D155100,P35579
D155600,Q92889
D155600,Q9UM73
D155600,P21359
D155600,Q9NUX5
D155600,O75030
D155600,Q15831
D155600,Q15303
D155600,Q8N3U4
D155600,P50148
D155600,P16455
D155600,Q13948
D155600,P04637
D155600,P29992
D155600,P19447
D155600,Q01726
D155600,P23025
D155600,P42772
D155600,P04049
D155600,P35222
D155600,P11802
D155600,P16234
D155600,Q6NYC1
D155600,P28715
D155600,P42336
D155600,P31749
D155600,Q8N726
D155600,Q13153
D155600,P36507
D155600,O14746
