Drug,Disease
DB01185,D215470
DB01186,D168100
DB01186,D168600
DB01188,D114580
DB01189,D147530
DB01189,D161900
DB01189,D608622
DB01192,D147530
DB01193,D161900
DB01193,D608622
DB01194,D137750
DB01194,D137760
DB01194,D161900
DB01194,D601682
DB01195,D607554
DB01196,D176807
DB01196,D601518
DB01197,D146255
DB01197,D161900
DB01197,D179600
DB01197,D215140
DB01197,D600351
DB01197,D602522
DB01197,D608622
DB01200,D168100
DB01202,D239350
DB01202,D300491
DB01202,D600131
DB01202,D604827
DB01202,D607628
DB01202,D607631
DB01202,D607681
DB01202,D607682
DB01202,D608105
DB01203,D110100
DB01203,D157700
DB01203,D161900
DB01203,D190300
DB01203,D190310
DB01203,D608622
DB01204,D109543
DB01204,D126200
DB01204,D147530
DB01204,D176807
DB01204,D236000
DB01204,D247640
DB01204,D267730
DB01204,D601626
DB01210,D137750
DB01210,D155100
DB01210,D161900
DB01210,D231200
DB01210,D273800
DB01214,D137750
DB01214,D137760
DB01214,D601682
DB01216,D104130
DB01216,D109200
DB01216,D147530
DB01216,D200170
DB01216,D600082
DB01217,D114480
DB01217,D174800
DB01219,D125310
DB01219,D126200
DB01219,D145600
DB01219,D154276
DB01219,D217150
DB01219,D540000
DB01219,D601042
DB01219,D601367
DB01219,D607225
DB01221,D147530
DB01222,D191390
DB01222,D208550
DB01222,D210050
DB01222,D266600
DB01222,D600807
DB01223,D208550
DB01223,D210050
DB01223,D600807
DB01224,D164230
DB01224,D181500
DB01225,D155100
DB01225,D188050
DB01225,D231200
DB01225,D273800
DB01228,D115000
DB01229,D114480
DB01229,D148000
DB01229,D194070
DB01231,D145590
DB01231,D156000
DB01233,D109350
DB01233,D157300
DB01234,D145590
DB01234,D152700
DB01234,D153880
DB01234,D166760
DB01234,D181000
DB01234,D188030
DB01234,D208550
DB01234,D215140
DB01234,D223350
DB01234,D233810
DB01234,D254400
DB01234,D276300
DB01234,D600351
DB01234,D601608
DB01235,D102300
DB01235,D168100
DB01238,D164230
DB01238,D181500
DB01240,D161900
DB01240,D178600
DB01240,D188030
DB01241,D144010
DB01241,D144650
DB01241,D260480
DB01242,D164230
DB01244,D161900
DB01244,D608622
DB01248,D114480
DB01248,D137215
DB01248,D155600
DB01248,D155601
DB01248,D176807
DB01248,D276300
DB01254,D223350
DB01254,D247640
DB01254,D276300
DB01255,D143465
DB01255,D300494
DB01259,D114480
DB01259,D276300
DB01260,D233810
DB01261,D125850
DB01261,D125851
DB01261,D125853
DB01261,D600496
DB01262,D247200
DB01267,D181500
DB01268,D144700
DB01268,D605839
DB01275,D145500
DB01275,D161900
DB01275,D608622
DB01291,D208550
DB01291,D600807
DB01296,D140600
DB01296,D165720
DB01296,D208230
DB01296,D607459
DB01296,D607850
DB01320,D239350
DB01327,D600803
DB01351,D239350
DB01359,D161900
DB01359,D608622
DB01364,D208550
DB01364,D600807
DB01367,D168100
DB01367,D168600
DB01378,D109350
DB01378,D190310
DB01394,D249100
DB01395,D184700
DB01395,D604416
DB01399,D145590
DB01399,D147530
DB01400,D157950
DB01400,D254200
DB01403,D147530
DB01406,D131200
DB01406,D215140
DB01406,D600351
DB01406,D601608
DB01410,D208550
DB01427,D212110
DB01576,D143465
DB01577,D143465
DB01577,D264120
DB01577,D303110
DB01577,D601665
DB01579,D264120
DB01579,D303110
DB01579,D601665
DB01590,D144700
DB01590,D605839
DB01623,D181500
DB02546,D254400
DB02546,D276300
DB03796,D115300
DB03796,D277350
DB03904,D173200
DB04272,D179800
DB04272,D179830
DB04272,D310468
DB04272,D604278
DB04844,D143100
DB04861,D110100
DB04861,D157700
DB04861,D161900
DB04861,D608622
DB05259,D126200
DB06285,D102500
DB06285,D166710
DB06287,D144700
DB06287,D605839
