Drug,Disease,,,,,,,,D114480
DB00554,D607459,,,,,,,,
DB00554,D607850,,,,,,,,
DB00555,D181500,,,,,,,,
DB00555,D239350,,,,,,,,
DB00555,D606369,,,,,,,,
DB00557,D145590,,,,,,,,
DB00557,D147530,,,,,,,,
DB00557,D603165,,,,,,,,
DB00559,D161900,,,,,,,,
DB00559,D178600,,,,,,,,
DB00563,D109543,,,,,,,,
DB00563,D109800,,,,,,,,
DB00563,D114480,,,,,,,,
DB00563,D114500,,,,,,,,
DB00563,D133239,,,,,,,,
DB00563,D137215,,,,,,,,
DB00563,D182280,,,,,,,,
DB00563,D208920,,,,,,,,
DB00563,D223350,,,,,,,,
DB00563,D231090,,,,,,,,
DB00563,D233810,,,,,,,,
DB00563,D236000,,,,,,,,
DB00563,D246470,,,,,,,,
DB00563,D247640,,,,,,,,
DB00563,D254400,,,,,,,,
DB00563,D259500,,,,,,,,
DB00563,D267730,,,,,,,,
DB00563,D268220,,,,,,,,
DB00563,D273300,,,,,,,,
DB00563,D276300,,,,,,,,
DB00563,D601626,,,,,,,,
DB00563,D604302,,,,,,,,
DB00564,D102300,,,,,,,,
DB00564,D104130,,,,,,,,
DB00564,D128101,,,,,,,,
DB00564,D165199,,,,,,,,
DB00564,D181500,,,,,,,,
DB00564,D190400,,,,,,,,
DB00569,D188050,,,,,,,,
DB00570,D114480,,,,,,,,
DB00570,D148000,,,,,,,,
DB00570,D188030,,,,,,,,
DB00570,D236000,,,,,,,,
DB00570,D254400,,,,,,,,
DB00570,D273300,,,,,,,,
DB00570,D276300,,,,,,,,
DB00571,D110100,,,,,,,,
DB00571,D115000,,,,,,,,
DB00571,D140850,,,,,,,,
DB00571,D157300,,,,,,,,
DB00571,D157700,,,,,,,,
DB00571,D161900,,,,,,,,
DB00571,D171300,,,,,,,,
DB00571,D190300,,,,,,,,
DB00571,D300125,,,,,,,,
DB00571,D608622,,,,,,,,
DB00572,D190310,,,,,,,,
DB00572,D226150,,,,,,,,
DB00573,D140600,,,,,,,,
DB00573,D147530,,,,,,,,
DB00573,D165720,,,,,,,,
DB00573,D208230,,,,,,,,
DB00573,D607459,,,,,,,,
DB00573,D607850,,,,,,,,
DB00575,D102300,,,,,,,,
DB00575,D103780,,,,,,,,
DB00575,D137580,,,,,,,,
DB00575,D143465,,,,,,,,
DB00575,D147530,,,,,,,,
DB00575,D161900,,,,,,,,
DB00575,D171300,,,,,,,,
DB00575,D188890,,,,,,,,
DB00575,D601042,,,,,,,,
DB00575,D607554,,,,,,,,
DB00575,D608622,,,,,,,,
DB00583,D212140,,,,,,,,
DB00583,D606054,,,,,,,,
DB00584,D146255,,,,,,,,
DB00584,D608622,,,,,,,,
DB00585,D109350,,,,,,,,
DB00585,D190310,,,,,,,,
DB00585,D304790,,,,,,,,
DB00585,D600263,,,,,,,,
DB00586,D106400,,,,,,,,
DB00586,D140600,,,,,,,,
DB00586,D147530,,,,,,,,
DB00586,D150600,,,,,,,,
DB00586,D165720,,,,,,,,
DB00586,D208230,,,,,,,,
DB00586,D308205,,,,,,,,
DB00586,D607459,,,,,,,,
DB00586,D607850,,,,,,,,
DB00588,D208550,,,,,,,,
DB00588,D600807,,,,,,,,
DB00588,D603165,,,,,,,,
DB00588,D607154,,,,,,,,
DB00589,D168600,,,,,,,,
DB00589,D168601,,,,,,,,
DB00589,D260300,,,,,,,,
DB00589,D556500,,,,,,,,
DB00589,D600116,,,,,,,,
DB00589,D606324,,,,,,,,
DB00589,D607060,,,,,,,,
DB00589,D607688,,,,,,,,
DB00590,D147530,,,,,,,,
DB00590,D161900,,,,,,,,
DB00590,D179600,,,,,,,,
DB00590,D200170,,,,,,,,
DB00590,D600082,,,,,,,,
DB00590,D608622,,,,,,,,
DB00591,D603165,,,,,,,,
DB00594,D161900,,,,,,,,
DB00594,D215140,,,,,,,,
DB00594,D608622,,,,,,,,
DB00596,D233810,,,,,,,,
DB00598,D110100,,,,,,,,
DB00598,D157700,,,,,,,,
DB00598,D161900,,,,,,,,
DB00598,D171300,,,,,,,,
DB00598,D608622,,,,,,,,
DB00603,D102500,,,,,,,,
DB00603,D131200,,,,,,,,
DB00603,D144700,,,,,,,,
DB00603,D605839,,,,,,,,
DB00604,D109350,,,,,,,,
DB00604,D304790,,,,,,,,
DB00605,D133690,,,,,,,,
DB00605,D140600,,,,,,,,
DB00605,D147530,,,,,,,,
DB00605,D165720,,,,,,,,
DB00605,D175100,,,,,,,,
DB00605,D208230,,,,,,,,
DB00605,D607459,,,,,,,,
DB00605,D607850,,,,,,,,
DB00608,D181000,,,,,,,,
DB00611,D147530,,,,,,,,
DB00612,D110100,,,,,,,,
DB00612,D157700,,,,,,,,
DB00619,D131440,,,,,,,,
DB00619,D247640,,,,,,,,
DB00619,D276300,,,,,,,,
DB00619,D601626,,,,,,,,
DB00619,D607685,,,,,,,,
DB00619,D608232,,,,,,,,
DB00620,D104130,,,,,,,,
DB00620,D114580,,,,,,,,
DB00620,D147540,,,,,,,,
DB00620,D148100,,,,,,,,
DB00620,D152700,,,,,,,,
DB00620,D165199,,,,,,,,
DB00620,D173200,,,,,,,,
DB00620,D181000,,,,,,,,
DB00620,D188030,,,,,,,,
DB00620,D208550,,,,,,,,
DB00620,D223350,,,,,,,,
DB00620,D603165,,,,,,,,
DB00620,D607154,,,,,,,,
DB00622,D161900,,,,,,,,
DB00622,D608622,,,,,,,,
DB00623,D181500,,,,,,,,
DB00624,D114480,,,,,,,,
DB00624,D215470,,,,,,,,
DB00627,D144010,,,,,,,,
DB00627,D144650,,,,,,,,
DB00630,D102500,,,,,,,,
DB00630,D150600,,,,,,,,
DB00630,D166710,,,,,,,,
DB00630,D167320,,,,,,,,
DB00630,D602080,,,,,,,,
DB00631,D247640,,,,,,,,
DB00635,D103285,,,,,,,,
DB00635,D109100,,,,,,,,
DB00635,D126200,,,,,,,,
DB00635,D143880,,,,,,,,
DB00635,D147540,,,,,,,,
DB00635,D152700,,,,,,,,
DB00635,D157300,,,,,,,,
DB00635,D181000,,,,,,,,
DB00635,D187360,,,,,,,,
DB00635,D188030,,,,,,,,
DB00635,D191100,,,,,,,,
DB00635,D202370,,,,,,,,
DB00635,D205700,,,,,,,,
DB00635,D208550,,,,,,,,
DB00635,D208920,,,,,,,,
DB00635,D223350,,,,,,,,
DB00635,D233810,,,,,,,,
DB00635,D240200,,,,,,,,
DB00635,D247640,,,,,,,,
DB00635,D254400,,,,,,,,
DB00635,D276300,,,,,,,,
DB00635,D300100,,,,,,,,
DB00635,D304790,,,,,,,,
DB00635,D600351,,,,,,,,
DB00635,D603165,,,,,,,,
DB00635,D607154,,,,,,,,
DB00636,D144650,,,,,,,,
DB00637,D147540,,,,,,,,
DB00640,D194200,,,,,,,,
DB00641,D143890,,,,,,,,
DB00641,D144010,,,,,,,,
DB00642,D276300,,,,,,,,
DB00644,D146110,,,,,,,,
DB00647,D147530,,,,,,,,
DB00651,D208550,,,,,,,,
DB00651,D210050,,,,,,,,
DB00651,D600807,,,,,,,,
DB00652,D147530,,,,,,,,
DB00653,D127350,,,,,,,,
DB00653,D189800,,,,,,,,
DB00653,D239350,,,,,,,,
DB00653,D248190,,,,,,,,
DB00654,D137750,,,,,,,,
DB00654,D137760,,,,,,,,
DB00654,D161900,,,,,,,,
DB00654,D601682,,,,,,,,
DB00655,D215470,,,,,,,,
DB00655,D311360,,,,,,,,
DB00657,D137580,,,,,,,,
DB00657,D145500,,,,,,,,
DB00657,D161900,,,,,,,,
DB00657,D608622,,,,,,,,
DB00659,D103780,,,,,,,,
DB00661,D115000,,,,,,,,
DB00661,D115195,,,,,,,,
DB00661,D157300,,,,,,,,
DB00661,D161900,,,,,,,,
DB00661,D200170,,,,,,,,
DB00661,D607554,,,,,,,,
DB00661,D608583,,,,,,,,
DB00661,D608622,,,,,,,,
DB00663,D603165,,,,,,,,
DB00668,D137750,,,,,,,,
DB00668,D137760,,,,,,,,
DB00668,D147540,,,,,,,,
DB00668,D208550,,,,,,,,
DB00668,D600807,,,,,,,,
DB00668,D601682,,,,,,,,
DB00669,D157300,,,,,,,,
DB00669,D300125,,,,,,,,
DB00669,D607501,,,,,,,,
DB00672,D125850,,,,,,,,
DB00672,D125851,,,,,,,,
DB00672,D125853,,,,,,,,
DB00672,D600496,,,,,,,,
DB00674,D104300,,,,,,,,
DB00674,D104310,,,,,,,,
DB00674,D125320,,,,,,,,
DB00674,D605055,,,,,,,,
DB00674,D606889,,,,,,,,
DB00674,D607822,,,,,,,,
DB00674,D608907,,,,,,,,
DB00675,D114480,,,,,,,,
DB00675,D174800,,,,,,,,
DB00678,D145500,,,,,,,,
DB00678,D146255,,,,,,,,
DB00678,D161900,,,,,,,,
DB00678,D608622,,,,,,,,
DB00679,D181500,,,,,,,,
DB00682,D107320,,,,,,,,
DB00682,D125310,,,,,,,,
DB00682,D540000,,,,,,,,
DB00682,D601367,,,,,,,,
DB00682,D607554,,,,,,,,
DB00682,D608583,,,,,,,,
DB00686,D147530,,,,,,,,
DB00687,D157700,,,,,,,,
DB00687,D240200,,,,,,,,
DB00687,D252320,,,,,,,,
DB00691,D146255,,,,,,,,
DB00691,D161900,,,,,,,,
DB00691,D608622,,,,,,,,
DB00692,D155100,,,,,,,,
DB00692,D161900,,,,,,,,
DB00692,D171300,,,,,,,,
DB00692,D231200,,,,,,,,
DB00692,D273800,,,,,,,,
DB00692,D608622,,,,,,,,
DB00694,D148000,,,,,,,,
DB00694,D151380,,,,,,,,
DB00694,D223350,,,,,,,,
DB00694,D247640,,,,,,,,
DB00694,D276300,,,,,,,,
DB00694,D601626,,,,,,,,
DB00695,D143880,,,,,,,,
DB00695,D146255,,,,,,,,
DB00695,D161900,,,,,,,,
DB00695,D166300,,,,,,,,
DB00695,D203700,,,,,,,,
DB00695,D210050,,,,,,,,
DB00695,D215140,,,,,,,,
DB00695,D256370,,,,,,,,
DB00695,D600351,,,,,,,,
DB00695,D608622,,,,,,,,
DB00696,D157300,,,,,,,,
DB00696,D300125,,,,,,,,
DB00697,D157300,,,,,,,,
DB00697,D160750,,,,,,,,
DB00697,D190400,,,,,,,,
DB00697,D200170,,,,,,,,
DB00697,D601042,,,,,,,,
DB00699,D153800,,,,,,,,
DB00699,D608895,,,,,,,,
DB00704,D103780,,,,,,,,
DB00706,D147530,,,,,,,,
DB00706,D200170,,,,,,,,
DB00706,D310468,,,,,,,,
DB00706,D600082,,,,,,,,
DB00710,D102500,,,,,,,,
DB00710,D166710,,,,,,,,
DB00712,D140600,,,,,,,,
DB00712,D153880,,,,,,,,
DB00712,D165720,,,,,,,,
DB00712,D208230,,,,,,,,
DB00712,D607459,,,,,,,,
DB00712,D607850,,,,,,,,
DB00714,D168100,,,,,,,,
DB00714,D168600,,,,,,,,
DB00714,D168601,,,,,,,,
DB00714,D260300,,,,,,,,
DB00714,D556500,,,,,,,,
DB00714,D600116,,,,,,,,
DB00714,D606324,,,,,,,,
DB00714,D607060,,,,,,,,
DB00714,D607688,,,,,,,,
DB00715,D131300,,,,,,,,
DB00715,D164230,,,,,,,,
DB00715,D252320,,,,,,,,
DB00716,D208550,,,,,,,,
DB00716,D600807,,,,,,,,
DB00717,D102500,,,,,,,,
DB00717,D131200,,,,,,,,
DB00717,D184700,,,,,,,,
DB00717,D215470,,,,,,,,
DB00717,D604416,,,,,,,,
DB00719,D603165,,,,,,,,
DB00719,D607154,,,,,,,,
DB00721,D147530,,,,,,,,
DB00722,D125310,,,,,,,,
DB00722,D146255,,,,,,,,
DB00722,D161900,,,,,,,,
DB00722,D233100,,,,,,,,
DB00722,D608320,,,,,,,,
DB00722,D608622,,,,,,,,
DB00724,D106400,,,,,,,,
DB00727,D179600,,,,,,,,
DB00727,D189800,,,,,,,,
DB00731,D125850,,,,,,,,
DB00731,D125851,,,,,,,,
DB00731,D125853,,,,,,,,
DB00731,D600496,,,,,,,,
DB00733,D254200,,,,,,,,
DB00734,D137580,,,,,,,,
DB00734,D181500,,,,,,,,
DB00734,D182830,,,,,,,,
DB00734,D225740,,,,,,,,
DB00734,D225755,,,,,,,,
DB00734,D260970,,,,,,,,
DB00734,D300494,,,,,,,,
DB00734,D608033,,,,,,,,
DB00736,D109350,,,,,,,,
DB00736,D190310,,,,,,,,
DB00736,D600263,,,,,,,,
DB00741,D166760,,,,,,,,
DB00741,D233810,,,,,,,,
DB00741,D266600,,,,,,,,
DB00741,D603165,,,,,,,,
DB00744,D208550,,,,,,,,
DB00744,D600807,,,,,,,,
DB00745,D107650,,,,,,,,
DB00745,D126200,,,,,,,,
DB00745,D143465,,,,,,,,
DB00745,D161400,,,,,,,,
DB00747,D107550,,,,,,,,
DB00747,D125320,,,,,,,,
DB00747,D168100,,,,,,,,
DB00747,D168600,,,,,,,,
DB00747,D190310,,,,,,,,
DB00747,D226150,,,,,,,,
DB00748,D603165,,,,,,,,
DB00748,D607154,,,,,,,,
DB00749,D140600,,,,,,,,
DB00749,D147530,,,,,,,,
DB00749,D165720,,,,,,,,
DB00749,D208230,,,,,,,,
DB00749,D607459,,,,,,,,
DB00749,D607850,,,,,,,,
DB00750,D147530,,,,,,,,
DB00751,D603165,,,,,,,,
DB00754,D239350,,,,,,,,
DB00755,D113800,,,,,,,,
DB00755,D124200,,,,,,,,
DB00755,D145200,,,,,,,,
DB00755,D146700,,,,,,,,
DB00755,D182000,,,,,,,,
DB00755,D242100,,,,,,,,
DB00755,D276300,,,,,,,,
DB00755,D604416,,,,,,,,
DB00757,D145590,,,,,,,,
DB00758,D125310,,,,,,,,
DB00758,D540000,,,,,,,,
DB00758,D601367,,,,,,,,
DB00759,D600263,,,,,,,,
DB00759,D603165,,,,,,,,
DB00759,D604416,,,,,,,,
DB00762,D114500,,,,,,,,
DB00762,D223350,,,,,,,,
DB00762,D246470,,,,,,,,
DB00762,D276300,,,,,,,,
DB00763,D275000,,,,,,,,
DB00765,D171300,,,,,,,,
DB00768,D603165,,,,,,,,
DB00771,D191390,,,,,,,,
DB00771,D226150,,,,,,,,
DB00773,D182280,,,,,,,,
DB00773,D236000,,,,,,,,
DB00773,D273300,,,,,,,,
DB00773,D276300,,,,,,,,
DB00775,D608320,,,,,,,,
DB00776,D208700,,,,,,,,
DB00776,D267740,,,,,,,,
DB00776,D300491,,,,,,,,
DB00776,D600131,,,,,,,,
DB00776,D604827,,,,,,,,
DB00776,D607628,,,,,,,,
DB00776,D607631,,,,,,,,
DB00776,D607681,,,,,,,,
DB00776,D607682,,,,,,,,
DB00776,D608105,,,,,,,,
DB00783,D102500,,,,,,,,
DB00783,D114480,,,,,,,,
DB00783,D176807,,,,,,,,
DB00783,D215470,,,,,,,,
DB00783,D311360,,,,,,,,
DB00784,D140600,,,,,,,,
DB00784,D165720,,,,,,,,
DB00784,D607850,,,,,,,,
DB00788,D133690,,,,,,,,
DB00788,D140600,,,,,,,,
DB00788,D145590,,,,,,,,
DB00788,D147530,,,,,,,,
DB00788,D150600,,,,,,,,
DB00788,D157300,,,,,,,,
DB00788,D165720,,,,,,,,
DB00788,D208230,,,,,,,,
DB00788,D252320,,,,,,,,
DB00788,D607459,,,,,,,,
DB00788,D607850,,,,,,,,
DB00790,D125310,,,,,,,,
DB00790,D146255,,,,,,,,
DB00790,D608320,,,,,,,,
DB00794,D121201,,,,,,,,
DB00794,D132090,,,,,,,,
DB00794,D132100,,,,,,,,
DB00794,D190300,,,,,,,,
DB00794,D190310,,,,,,,,
DB00794,D208700,,,,,,,,
DB00794,D267740,,,,,,,,
DB00794,D300491,,,,,,,,
DB00794,D600131,,,,,,,,
DB00794,D604827,,,,,,,,
DB00794,D607628,,,,,,,,
DB00794,D607631,,,,,,,,
DB00794,D607681,,,,,,,,
DB00794,D607682,,,,,,,,
DB00794,D608105,,,,,,,,
DB00795,D104130,,,,,,,,
DB00795,D266600,,,,,,,,
DB00796,D161900,,,,,,,,
DB00796,D608622,,,,,,,,
DB00800,D161900,,,,,,,,
DB00800,D608622,,,,,,,,
DB00804,D304790,,,,,,,,
DB00804,D600351,,,,,,,,
DB00806,D125310,,,,,,,,
DB00806,D188050,,,,,,,,
DB00806,D540000,,,,,,,,
DB00806,D601367,,,,,,,,
DB00808,D161900,,,,,,,,
DB00808,D215140,,,,,,,,
DB00808,D256370,,,,,,,,
DB00808,D600351,,,,,,,,
DB00808,D608622,,,,,,,,
DB00810,D125320,,,,,,,,
DB00810,D168100,,,,,,,,
DB00813,D147530,,,,,,,,
DB00814,D133690,,,,,,,,
DB00814,D140600,,,,,,,,
DB00814,D165720,,,,,,,,
DB00814,D208230,,,,,,,,
DB00814,D607459,,,,,,,,
DB00814,D607850,,,,,,,,
DB00816,D208550,,,,,,,,
DB00816,D210050,,,,,,,,
DB00816,D600807,,,,,,,,
DB00819,D137760,,,,,,,,
DB00819,D147480,,,,,,,,
DB00819,D215140,,,,,,,,
DB00819,D239350,,,,,,,,
DB00819,D600351,,,,,,,,
DB00820,D161900,,,,,,,,
DB00820,D178600,,,,,,,,
DB00822,D103780,,,,,,,,
DB00829,D156000,,,,,,,,
DB00829,D601042,,,,,,,,
DB00831,D181500,,,,,,,,
DB00834,D103285,,,,,,,,
DB00835,D603165,,,,,,,,
DB00835,D607154,,,,,,,,
DB00839,D125850,,,,,,,,
DB00839,D125851,,,,,,,,
DB00839,D125853,,,,,,,,
DB00839,D600496,,,,,,,,
DB00843,D104300,,,,,,,,
DB00843,D104310,,,,,,,,
DB00843,D125320,,,,,,,,
DB00843,D605055,,,,,,,,
DB00843,D606889,,,,,,,,
DB00843,D607822,,,,,,,,
DB00843,D608907,,,,,,,,
DB00844,D147530,,,,,,,,
DB00846,D233810,,,,,,,,
DB00847,D219750,,,,,,,,
DB00847,D219800,,,,,,,,
DB00848,D276300,,,,,,,,
DB00851,D155600,,,,,,,,
DB00851,D155601,,,,,,,,
DB00851,D236000,,,,,,,,
DB00851,D256700,,,,,,,,
DB00851,D268220,,,,,,,,
DB00851,D276300,,,,,,,,
DB00852,D145590,,,,,,,,
DB00852,D208550,,,,,,,,
DB00852,D600807,,,,,,,,
DB00852,D603165,,,,,,,,
DB00852,D607154,,,,,,,,
DB00852,D608088,,,,,,,,
DB00860,D126200,,,,,,,,
DB00860,D147540,,,,,,,,
DB00860,D152700,,,,,,,,
DB00860,D205700,,,,,,,,
DB00860,D215140,,,,,,,,
DB00860,D240200,,,,,,,,
DB00860,D266600,,,,,,,,
DB00860,D276300,,,,,,,,
DB00860,D304790,,,,,,,,
DB00860,D600351,,,,,,,,
DB00861,D140600,,,,,,,,
DB00861,D147530,,,,,,,,
DB00861,D165720,,,,,,,,
DB00861,D208230,,,,,,,,
DB00861,D607459,,,,,,,,
DB00861,D607850,,,,,,,,
DB00863,D109350,,,,,,,,
DB00863,D190310,,,,,,,,
DB00863,D304790,,,,,,,,
DB00864,D603165,,,,,,,,
DB00865,D264120,,,,,,,,
DB00865,D303110,,,,,,,,
DB00865,D601665,,,,,,,,
DB00868,D608088,,,,,,,,
DB00869,D137750,,,,,,,,
DB00869,D137760,,,,,,,,
DB00869,D161900,,,,,,,,
DB00869,D601682,,,,,,,,
DB00871,D208550,,,,,,,,
DB00871,D210050,,,,,,,,
DB00871,D600807,,,,,,,,
DB00876,D161900,,,,,,,,
DB00876,D608622,,,,,,,,
DB00880,D161900,,,,,,,,
DB00880,D203700,,,,,,,,
DB00880,D210050,,,,,,,,
DB00880,D215140,,,,,,,,
DB00880,D256370,,,,,,,,
DB00880,D600351,,,,,,,,
DB00880,D608622,,,,,,,,
DB00881,D146255,,,,,,,,
DB00881,D161900,,,,,,,,
DB00881,D233100,,,,,,,,
DB00881,D608622,,,,,,,,
DB00882,D184700,,,,,,,,
DB00882,D270960,,,,,,,,
DB00883,D109350,,,,,,,,
DB00883,D161900,,,,,,,,
DB00883,D178600,,,,,,,,
DB00883,D608320,,,,,,,,
DB00884,D102500,,,,,,,,
DB00884,D166710,,,,,,,,
DB00884,D167320,,,,,,,,
DB00884,D602080,,,,,,,,
DB00887,D146255,,,,,,,,
DB00887,D161900,,,,,,,,
DB00887,D166300,,,,,,,,
DB00887,D203700,,,,,,,,
DB00887,D210050,,,,,,,,
DB00887,D215140,,,,,,,,
DB00887,D256370,,,,,,,,
DB00887,D600351,,,,,,,,
DB00887,D608622,,,,,,,,
DB00889,D145590,,,,,,,,
DB00898,D147530,,,,,,,,
DB00898,D190400,,,,,,,,
DB00899,D147530,,,,,,,,
DB00903,D161900,,,,,,,,
DB00903,D203700,,,,,,,,
DB00903,D210050,,,,,,,,
DB00903,D215140,,,,,,,,
DB00903,D256370,,,,,,,,
DB00903,D600351,,,,,,,,
DB00903,D608622,,,,,,,,
DB00904,D103780,,,,,,,,
DB00904,D145590,,,,,,,,
DB00904,D164230,,,,,,,,
DB00905,D137750,,,,,,,,
DB00905,D137760,,,,,,,,
DB00905,D161900,,,,,,,,
DB00905,D601682,,,,,,,,
DB00907,D147530,,,,,,,,
DB00907,D608088,,,,,,,,
DB00908,D115000,,,,,,,,
DB00908,D607554,,,,,,,,
DB00908,D608583,,,,,,,,
DB00909,D190300,,,,,,,,
DB00909,D208700,,,,,,,,
DB00909,D239350,,,,,,,,
DB00909,D267740,,,,,,,,
DB00909,D300491,,,,,,,,
DB00909,D600131,,,,,,,,
DB00909,D604827,,,,,,,,
DB00909,D607628,,,,,,,,
DB00909,D607631,,,,,,,,
DB00909,D607681,,,,,,,,
DB00909,D607682,,,,,,,,
DB00909,D608105,,,,,,,,
DB00912,D125850,,,,,,,,
DB00912,D125851,,,,,,,,
DB00912,D125853,,,,,,,,
DB00912,D600496,,,,,,,,
DB00915,D119500,,,,,,,,
DB00915,D126200,,,,,,,,
DB00915,D168100,,,,,,,,
DB00917,D231090,,,,,,,,
DB00918,D157300,,,,,,,,
DB00920,D603165,,,,,,,,
DB00921,D147530,,,,,,,,
DB00924,D147530,,,,,,,,
DB00924,D157300,,,,,,,,
DB00924,D160750,,,,,,,,
DB00924,D200170,,,,,,,,
DB00924,D601042,,,,,,,,
DB00925,D171300,,,,,,,,
DB00927,D109350,,,,,,,,
DB00927,D190310,,,,,,,,
DB00927,D304790,,,,,,,,
DB00927,D600263,,,,,,,,
DB00928,D247200,,,,,,,,
DB00928,D258360,,,,,,,,
DB00929,D140600,,,,,,,,
DB00929,D190310,,,,,,,,
DB00933,D181500,,,,,,,,
DB00936,D106400,,,,,,,,
DB00936,D147530,,,,,,,,
DB00936,D604416,,,,,,,,
DB00937,D264120,,,,,,,,
DB00937,D601665,,,,,,,,
DB00938,D208550,,,,,,,,
DB00938,D600807,,,,,,,,
DB00939,D140600,,,,,,,,
DB00939,D147530,,,,,,,,
DB00939,D165720,,,,,,,,
DB00939,D607850,,,,,,,,
DB00945,D107320,,,,,,,,
DB00945,D125310,,,,,,,,
DB00945,D140600,,,,,,,,
DB00945,D145590,,,,,,,,
DB00945,D147530,,,,,,,,
DB00945,D150600,,,,,,,,
DB00945,D152700,,,,,,,,
DB00945,D157300,,,,,,,,
DB00945,D165720,,,,,,,,
DB00945,D208230,,,,,,,,
DB00945,D601367,,,,,,,,
DB00945,D604302,,,,,,,,
DB00945,D607459,,,,,,,,
DB00945,D607850,,,,,,,,
DB00947,D114480,,,,,,,,
DB00950,D603165,,,,,,,,
DB00950,D607154,,,,,,,,
DB00952,D157300,,,,,,,,
DB00952,D607501,,,,,,,,
DB00953,D157300,,,,,,,,
DB00953,D607501,,,,,,,,
DB00956,D147530,,,,,,,,
DB00956,D608088,,,,,,,,
DB00957,D131200,,,,,,,,
DB00957,D604416,,,,,,,,
DB00959,D109100,,,,,,,,
DB00959,D140600,,,,,,,,
DB00959,D147540,,,,,,,,
DB00959,D208550,,,,,,,,
DB00959,D276300,,,,,,,,
DB00960,D161900,,,,,,,,
DB00960,D608622,,,,,,,,
DB00963,D115645,,,,,,,,
DB00963,D212350,,,,,,,,
DB00966,D145500,,,,,,,,
DB00966,D161900,,,,,,,,
DB00966,D608622,,,,,,,,
DB00967,D603165,,,,,,,,
DB00967,D607154,,,,,,,,
DB00968,D161900,,,,,,,,
DB00968,D608622,,,,,,,,
DB00969,D260570,,,,,,,,
DB00972,D603165,,,,,,,,
DB00972,D607154,,,,,,,,
DB00973,D143890,,,,,,,,
DB00975,D601367,,,,,,,,
DB00977,D102500,,,,,,,,
DB00977,D131200,,,,,,,,
DB00977,D184700,,,,,,,,
DB00977,D215470,,,,,,,,
DB00977,D311360,,,,,,,,
DB00977,D604416,,,,,,,,
DB00982,D601626,,,,,,,,
DB00982,D604416,,,,,,,,
DB00983,D208550,,,,,,,,
DB00983,D210050,,,,,,,,
DB00983,D600807,,,,,,,,
DB00984,D106100,,,,,,,,
DB00984,D202400,,,,,,,,
DB00987,D109543,,,,,,,,
DB00987,D223350,,,,,,,,
DB00987,D236000,,,,,,,,
DB00987,D246470,,,,,,,,
DB00987,D247640,,,,,,,,
DB00987,D267730,,,,,,,,
DB00987,D276300,,,,,,,,
DB00987,D601626,,,,,,,,
DB00988,D146255,,,,,,,,
DB00988,D161900,,,,,,,,
DB00988,D166300,,,,,,,,
DB00988,D310468,,,,,,,,
DB00989,D104300,,,,,,,,
DB00989,D104310,,,,,,,,
DB00989,D125320,,,,,,,,
DB00989,D168100,,,,,,,,
DB00989,D168600,,,,,,,,
DB00989,D168601,,,,,,,,
DB00989,D260300,,,,,,,,
DB00989,D556500,,,,,,,,
DB00989,D600116,,,,,,,,
DB00989,D605055,,,,,,,,
DB00989,D606324,,,,,,,,
DB00989,D606889,,,,,,,,
DB00989,D607060,,,,,,,,
DB00989,D607688,,,,,,,,
DB00989,D607822,,,,,,,,
DB00989,D608907,,,,,,,,
DB00990,D114480,,,,,,,,
DB00991,D140600,,,,,,,,
DB00991,D165720,,,,,,,,
DB00991,D208230,,,,,,,,
DB00991,D607459,,,,,,,,
DB00991,D607850,,,,,,,,
DB00993,D126200,,,,,,,,
DB00993,D152700,,,,,,,,
DB00993,D160300,,,,,,,,
DB00993,D181000,,,,,,,,
DB00993,D188030,,,,,,,,
DB00993,D208920,,,,,,,,
DB00993,D233810,,,,,,,,
DB00993,D254200,,,,,,,,
DB00993,D266600,,,,,,,,
DB00996,D102300,,,,,,,,
DB00996,D147530,,,,,,,,
DB00996,D157300,,,,,,,,
DB00996,D165199,,,,,,,,
DB00996,D190300,,,,,,,,
DB00996,D208700,,,,,,,,
DB00996,D267740,,,,,,,,
DB00996,D300491,,,,,,,,
DB00996,D600131,,,,,,,,
DB00996,D604827,,,,,,,,
DB00996,D607628,,,,,,,,
DB00996,D607631,,,,,,,,
DB00996,D607681,,,,,,,,
DB00996,D607682,,,,,,,,
DB00996,D608105,,,,,,,,
DB00997,D109800,,,,,,,,
DB00997,D114480,,,,,,,,
DB00997,D137215,,,,,,,,
DB00997,D188470,,,,,,,,
DB00997,D194070,,,,,,,,
DB00997,D211980,,,,,,,,
DB00997,D236000,,,,,,,,
DB00997,D247640,,,,,,,,
DB00997,D254500,,,,,,,,
DB00997,D256700,,,,,,,,
DB00997,D259500,,,,,,,,
DB00997,D268220,,,,,,,,
DB00997,D276300,,,,,,,,
DB00997,D601626,,,,,,,,
DB00998,D157300,,,,,,,,
DB00998,D607501,,,,,,,,
DB00999,D102500,,,,,,,,
DB00999,D125700,,,,,,,,
DB00999,D161900,,,,,,,,
DB00999,D215140,,,,,,,,
DB00999,D600351,,,,,,,,
DB00999,D608622,,,,,,,,
DB01001,D208550,,,,,,,,
DB01001,D600807,,,,,,,,
DB01002,D147530,,,,,,,,
DB01003,D191390,,,,,,,,
DB01003,D208550,,,,,,,,
DB01003,D600807,,,,,,,,
DB01005,D144700,,,,,,,,
DB01005,D155600,,,,,,,,
DB01005,D155601,,,,,,,,
DB01005,D187950,,,,,,,,
DB01005,D263300,,,,,,,,
