Drug,Protein
DB00783,P03372
DB00783,Q99527
DB00783,Q92731
DB00783,Q14457
DB00783,P00846
DB00784,P35354
DB00784,P23219
DB00788,P35354
DB00788,P23219
DB00790,Q6FHJ7
DB00790,P12821
DB00794,P14867
DB00794,P43681
DB00794,P47869
DB00794,P31644
DB00794,P48169
DB00794,Q16445
DB00794,P34903
DB00794,P42262
DB00794,Q13002
DB00794,P36544
DB00795,Q9UPY5
DB00795,P35354
DB00795,P23219
DB00795,P24752
DB00795,O14920
DB00795,P04054
DB00795,P24557
DB00795,O15111
DB00795,P09917
DB00795,P37231
DB00796,P30556
DB00800,P25100
DB00800,P18825
DB00800,P35368
DB00800,P35348
DB00800,P08913
DB00800,P18089
DB00800,P21918
DB00800,P21728
DB00804,P11229
DB00804,P08172
DB00806,P21589
DB00806,P30542
DB00806,P29274
DB00808,P55017
DB00810,P11229
DB00813,P08183
DB00813,P41143
DB00813,P41145
DB00813,P35372
DB00814,P35354
DB00814,P23219
DB00816,P07550
DB00819,P00915
DB00819,P43166
DB00819,P22748
DB00819,O43570
DB00819,P29972
DB00819,Q9ULX7
DB00819,P00918
DB00819,P07451
DB00820,O76074
DB00820,Q9HCR9
DB00822,P09172
DB00822,P05091
DB00829,P14867
DB00831,P14416
DB00831,P26447
DB00831,P63316
DB00831,P0DP23
DB00831,Q9NYX4
DB00831,P35348
DB00834,P06401
DB00834,O75469
DB00834,P04150
DB00834,P07288
DB00835,P08173
DB00835,P20309
DB00835,P11229
DB00835,P08172
DB00835,P08912
DB00835,P35367
DB00839,Q09428
DB00843,P98066
DB00843,P28223
DB00843,P29475
DB00843,Q00653
DB00843,P06276
DB00843,P01584
DB00843,P22303
DB00843,Q05586
DB00844,P41143
DB00844,P41145
DB00844,P35372
DB00846,P04150
DB00847,P61278
DB00847,P49146
DB00848,P10696
DB00848,P32297
DB00851,P52209
DB00851,Q14181
DB00852,P60568
DB00852,P01375
DB00852,P08588
DB00852,O95644
DB00852,P18846
DB00852,Q01959
DB00852,P31645
DB00852,P35348
DB00852,P08913
DB00852,P23975
DB00852,P07550
DB00852,P19838
DB00860,P04150
DB00861,P35354
DB00861,P23219
DB00863,P22303
DB00863,P25021
DB00864,P62942
DB00865,P35348
DB00865,P08913
DB00865,Q05940
DB00865,Q01959
DB00868,Q14524
DB00869,P22748
DB00869,P00918
DB00869,P00915
DB00869,P07451
DB00871,P08588
DB00871,P07550
DB00871,P13945
DB00876,P30556
DB00880,P00915
DB00880,P55017
DB00880,P00918
DB00881,P12821
DB00882,P04278
DB00882,P03372
DB00883,P16066
DB00884,P14324
DB00887,Q9H2X9
DB00887,Q13621
DB00887,P55011
DB00887,Q9UP95
DB00887,P13569
DB00889,P46098
DB00898,P14867
DB00898,Q9UGM1
DB00898,O95264
DB00898,P47869
DB00898,P46098
DB00898,P30926
DB00898,P42262
DB00898,O14764
DB00898,Q13698
DB00898,P78334
DB00898,Q06432
DB00898,Q70Z44
DB00898,P32297
DB00898,P31644
DB00898,P18505
DB00898,P19320
DB00898,Q8N1C3
DB00898,Q8WXA8
DB00898,Q9UN88
DB00898,Q13936
DB00898,Q99808
DB00898,Q15825
DB00898,P32004
DB00898,O00591
DB00898,Q9GZZ6
DB00898,Q14542
DB00898,P42261
DB00898,P43681
DB00898,P23415
DB00898,Q8TCU5
DB00898,P48549
DB00898,Q05901
DB00898,P48169
DB00898,Q99928
DB00898,P17787
DB00898,Q9Y698
DB00898,Q01668
DB00898,A5X5Y0
DB00898,Q02641
DB00898,Q92806
DB00898,P42263
DB00898,P48544
DB00898,P48051
DB00898,P47870
DB00898,Q15822
DB00898,Q16445
DB00898,P34903
DB00898,P48058
DB00898,P30532
DB00898,P28472
DB00898,P23416
DB00898,P36544
DB00899,P41143
DB00899,P41145
DB00899,P35372
DB00903,P05023
DB00903,Q13621
DB00903,Q9UJU2
DB00903,P09211
DB00904,P08908
DB00904,P35372
DB00904,P46098
DB00904,P28222
DB00904,Q13639
DB00905,P43115
DB00905,P34995
DB00905,P43088
DB00907,P35498
DB00907,Q01959
DB00907,P31645
DB00907,P11229
DB00907,P08172
DB00907,Q99720
DB00907,P23975
DB00907,P23141
DB00908,P25100
DB00908,Q9Y257
DB00908,P35368
DB00908,Q12809
DB00908,P35348
DB00908,Q14524
DB00908,O00180
DB00909,Q9Y2D0
DB00909,P23280
DB00909,O43497
DB00909,P35218
DB00909,Q16790
DB00909,O43570
DB00909,O75493
DB00909,Q99250
DB00909,Q9NY72
DB00909,Q9ULX7
DB00909,Q9P0X4
DB00909,P00915
DB00909,P43166
DB00909,Q14524
DB00909,Q9UI33
DB00909,P35219
DB00909,Q9NY46
DB00909,P35498
DB00909,Q07699
DB00909,Q8N1Q1
DB00909,P22748
DB00909,O95180
DB00909,P00918
DB00909,P07451
DB00909,Q15858
DB00909,O60939
DB00909,P27338
DB00909,P35499
DB00909,P21397
DB00909,Q9NS85
DB00909,Q8IWT1
DB00912,Q09428
DB00912,P37231
DB00915,P43681
DB00915,P14416
DB00915,P32297
DB00915,Q8TCU5
DB00915,P36544
DB00917,Q9Y5Y4
DB00917,P35408
DB00917,P34995
DB00917,P43115
DB00917,P43116
DB00918,P28222
DB00918,P28221
DB00920,P52209
DB00920,P35367
DB00921,P41146
DB00921,P41143
DB00921,P41145
DB00921,P35372
DB00924,P28223
DB00924,P50406
DB00924,Q06278
DB00924,P28335
DB00924,O00206
DB00924,P31645
DB00924,P23975
DB00924,P34969
DB00924,P41595
DB00925,P25100
DB00925,P18825
DB00925,P0DP23
DB00925,P35368
DB00925,P35348
DB00925,P08913
DB00925,P18089
DB00925,P07550
DB00927,P25021
DB00928,P26358
DB00929,P34995
DB00929,P43115
DB00929,P43116
DB00929,P35408
DB00933,P28223
DB00933,P14416
DB00936,Q04828
DB00936,P35354
DB00936,P23219
DB00937,P23975
DB00937,Q01959
DB00938,P08588
DB00938,P07550
DB00938,P13945
DB00939,P35354
DB00939,P23219
DB00939,O43526
DB00939,P09917
DB00939,O43525
DB00945,P04637
DB00945,P98066
DB00945,P11021
DB00945,P29466
DB00945,P35354
DB00945,P23219
DB00945,P12004
DB00945,O14920
DB00945,P25101
DB00945,P01106
DB00945,P24385
DB00945,P28482
DB00945,Q13131
DB00945,Q04828
DB00945,P25963
DB00945,P42574
DB00945,P51812
DB00947,P03372
DB00950,P35367
DB00952,P28222
DB00952,P28221
DB00952,P08908
DB00952,P30939
DB00953,P28222
DB00953,P28221
DB00953,P30939
DB00956,Q99720
DB00956,P41143
DB00956,P35372
DB00957,P06401
DB00957,P10275
DB00957,P03372
DB00959,P04150
DB00959,P04083
DB00960,P08908
DB00960,P08588
DB00960,P28222
DB00960,P07550
DB00960,P13945
DB00963,P35354
DB00963,P23219
DB00966,P37231
DB00966,P30556
DB00967,P35367
DB00968,P08913
DB00968,P20711
DB00969,P46098
DB00972,Q16873
DB00972,P25021
DB00972,P04054
DB00972,P35367
DB00973,P35610
DB00973,P15144
DB00973,Q9UHC9
DB00975,P00813
DB00975,Q9Y233
DB00975,P27815
DB00975,P53805
DB00975,O76074
DB00975,P02763
DB00977,O75469
DB00977,P03372
DB00982,P10276
DB00982,P13631
DB00983,P08588
DB00983,P07550
DB00983,P13945
DB00984,P10275
DB00987,P06746
DB00988,P00441
DB00988,P14416
DB00988,P08908
DB00988,O95264
DB00988,P35462
DB00988,P21917
DB00988,P46098
DB00988,Q01959
DB00988,Q05940
DB00988,P09172
DB00988,P31645
DB00988,P23975
DB00988,P21918
DB00988,P34969
DB00988,P21728
DB00989,P22303
DB00989,P06276
DB00990,P11511
DB00991,P35354
DB00991,P23219
DB00993,P63000
DB00996,A0A024R8I1
DB00996,P54289
DB00996,Q9NY47
DB00996,Q9NR82
DB00996,P30542
DB00996,O43525
DB00997,P11388
DB00997,Q14978
DB00998,P28222
DB00998,P28221
DB00999,P55017
DB00999,Q12791
DB01001,P08588
DB01001,P07550
DB01001,P13945
DB01002,Q9Y5Y9
DB01003,P25815
DB01005,P23921
DB01006,P11511
DB01009,P25024
DB01009,P35354
DB01009,P23219
DB01012,P41180
DB01014,P09917
DB01014,P37231
DB01014,P35354
DB01014,P23219
DB01016,O60706
DB01016,O95342
DB01016,Q09428
DB01016,Q14654
DB01016,O95477
DB01016,P50416
DB01016,P13569
DB01016,Q8TD43
DB01017,P29466
DB01017,P99999
DB01017,P09917
DB01017,P28482
DB01017,P15692
DB01017,P01584
DB01017,P14780
DB01017,P42574
DB01017,P35228
DB01018,P18089
DB01018,P08913
DB01019,P20309
DB01019,P08172
DB01019,P11229
DB01019,P08173
DB01020,P33402
DB01023,Q08289
DB01023,P54289
DB01023,P08235
DB01023,P54750
DB01023,P63316
DB01023,P0DP23
DB01023,Q9NY47
DB01023,Q13936
DB01023,O95180
DB01023,Q13698
DB01023,Q01668
DB01023,Q01064
DB01023,P02585
DB01026,O75469
DB01026,P10275
DB01026,Q12809
DB01026,P05093
DB01026,P08686
DB01026,Q14994
DB01029,P05412
DB01029,P30556
DB01030,Q969P6
DB01030,P11387
DB01033,P20839
DB01033,Q06203
DB01033,P00492
DB01035,Q12809
DB01035,Q14524
DB01035,P26358
DB01037,P21397
DB01037,P27338
DB01039,O75469
DB01039,Q9NPA2
DB01039,Q07869
DB01041,Q96SW2
DB01041,P35354
DB01041,P21802
DB01041,P01375
DB01041,P19838
DB01041,P02763
DB01043,Q693P7
DB01043,P14867
DB01043,P14416
DB01043,P23415
DB01043,P46098
DB01043,Q05586
DB01045,O75469
DB01046,P51788
DB01050,P07204
DB01050,P12104
DB01050,P10415
DB01050,P35354
DB01050,P23219
DB01050,Q07869
DB01050,P07359
DB01050,P31151
DB01050,P13569
DB01050,P37231
DB01063,P14416
DB01063,P10275
DB01064,P00441
DB01064,P27986
DB01064,O00459
DB01064,P08588
DB01064,Q92569
DB01064,P28482
DB01064,P07550
DB01064,P13945
DB01065,P05164
DB01065,P11678
DB01065,P03372
DB01065,Q92753
DB01065,P16083
DB01065,P0DP23
DB01065,P48039
DB01065,P46597
DB01065,P49286
DB01065,P27797
DB01067,Q09428
DB01067,P37231
DB01068,P14867
DB01068,O75469
DB01069,P35498
DB01069,P14416
DB01069,P20309
DB01069,P08173
DB01069,P25021
DB01069,P0DP23
DB01069,P11229
DB01069,P08172
DB01069,P08912
DB01069,P35348
DB01069,P35367
DB01070,P11473
DB01073,P09884
DB01073,P27707
DB01073,P23921
DB01075,P08172
DB01075,P35367
DB01076,P27487
DB01076,Q92769
DB01076,P04035
DB01076,P35869
DB01076,Q14994
DB01077,P38606
DB01077,P12235
DB01077,P12236
DB01077,P05141
DB01077,Q13332
DB01080,P80404
DB01083,P49327
DB01083,P07098
DB01083,P16233
DB01084,P35367
DB01085,P11229
DB01085,P08172
DB01085,P20309
DB01085,P08173
DB01086,Q9Y5Y9
DB01088,Q9Y5Y4
DB01088,Q07343
DB01088,P27815
DB01088,P00750
DB01088,Q08493
DB01088,P34995
DB01088,P43119
DB01088,Q08499
DB01095,P04035
DB01095,Q92769
DB01098,P04035
DB01098,P20701
DB01099,P26358
DB01101,P04818
DB01104,Q7RTT9
DB01104,Q01959
DB01104,O00264
DB01104,P31645
DB01104,P23975
DB01105,P23975
DB01105,P31645
DB01105,Q01959
DB01106,O95665
DB01106,P35367
DB01110,O75469
DB01110,P29474
DB01110,Q14500
DB01110,Q12791
DB01110,Q13936
DB01110,P35228
DB01113,Q9Y233
DB01113,Q07343
DB01114,P23975
DB01114,P31645
DB01114,Q01959
DB01114,P35367
DB01115,Q08289
DB01115,O75469
DB01115,O43497
DB01115,P0DP23
DB01115,Q13936
DB01115,Q13698
DB01115,Q01668
DB01115,Q9UK17
DB01118,Q07869
DB01118,P08588
DB01118,Q12809
DB01118,P37231
DB01118,Q13936
DB01118,Q86YN6
DB01118,Q9P0X4
DB01120,Q09428
DB01120,P15692
DB01122,P22303
DB01124,Q09428
DB01124,P48048
DB01125,P38435
DB01128,P10275
DB01129,P20648
DB01132,P27338
DB01132,P37231
DB01133,P29350
DB01133,P23469
DB01133,Q93050
DB01133,Q05209
DB01136,O95298
DB01136,P25100
DB01136,P08588
DB01136,P18825
DB01136,P16581
DB01136,P17302
DB01136,P19320
DB01136,Q16665
DB01136,P48050
DB01136,P35368
DB01136,Q12809
DB01136,P63252
DB01136,P35348
DB01136,P15692
DB01136,P08913
DB01136,P18089
DB01136,P16860
DB01136,P07550
DB01142,P25100
DB01142,P35368
DB01142,P08172
DB01142,P23975
DB01142,P28223
DB01142,P28335
DB01142,Q9H3N8
DB01142,P41595
DB01142,P35367
DB01142,P08908
DB01142,P20309
DB01142,P31645
DB01142,P08173
DB01142,P50406
DB01142,P25021
DB01142,Q12809
DB01142,P11229
DB01142,P08912
DB01142,P35348
DB01143,P10696
DB01144,P00915
DB01144,P43166
DB01144,P22748
DB01144,P00918
DB01144,P07451
DB01146,Q01959
DB01146,P35367
DB01148,P08172
DB01148,P11229
DB01151,P28223
DB01151,P17405
DB01151,P20309
DB01151,P08173
DB01151,P08588
DB01151,P08908
DB01151,P14416
DB01151,P28335
DB01151,P31645
DB01151,P35348
DB01151,P11229
DB01151,P08172
DB01151,P08912
DB01151,P08913
DB01151,P23975
DB01151,P07550
DB01151,P35367
DB01156,P23975
DB01156,P46098
DB01156,P32297
DB01156,Q01959
DB01157,P00374
DB01161,Q9Y5Y9
DB01161,Q01959
DB01162,P25100
DB01162,P35368
DB01162,Q12809
DB01162,P35348
DB01162,Q9H252
DB01162,P01137
DB01162,Q9NS40
DB01165,P11388
DB01167,Q16850
DB01169,P27361
DB01169,P31749
DB01169,O14920
DB01169,P24385
DB01169,P38936
DB01169,P29590
DB01169,P05412
DB01169,Q13547
DB01169,P28482
DB01169,Q16881
DB01170,P23975
DB01173,Q8TCU5
DB01173,Q9Y5Y9
DB01173,P23975
DB01173,O60391
DB01173,O15399
DB01173,Q05586
DB01173,P35367
DB01174,P14867
DB01174,O75469
DB01174,P43681
DB01174,P42262
DB01174,Q13002
DB01174,P36544
DB01174,Q05586
DB01175,P08908
DB01175,P28223
DB01175,P14416
DB01175,P28335
DB01175,Q01959
DB01175,P31645
DB01175,P11229
DB01175,P35348
DB01175,P08913
DB01175,P23975
DB01175,P35367
DB01176,P49888
DB01176,P35367
DB01177,P11388
DB01181,O75469
DB01182,Q12809
DB01182,Q14524
DB01182,P07550
DB01182,P08588
DB01185,P04150
DB01185,P10275
DB01185,P80365
DB01185,P03372
DB01186,P14416
DB01186,P08908
DB01186,P28223
DB01186,P25100
DB01186,P35462
DB01186,P28221
DB01186,P28335
DB01186,P35368
DB01186,P28222
DB01186,P35348
DB01186,P08913
DB01186,P21918
DB01186,P21728
DB01186,P21917
DB01186,P41595
DB01188,P05023
DB01189,P14867
DB01189,P42261
DB01189,P98194
DB01189,P23415
DB01189,P30049
DB01189,P03886
DB01189,Q09470
DB01192,P41143
DB01192,P35372
DB01193,P08588
DB01193,P07550
DB01194,P00915
DB01194,P35218
DB01194,P22748
DB01194,P00918
DB01194,P07451
DB01195,Q12809
DB01195,P35499
DB01195,Q14524
DB01195,Q92736
DB01196,P11137
DB01196,P78559
DB01196,Q92731
DB01196,P03372
DB01197,P09960
DB01197,P08253
DB01197,P46663
DB01197,P14780
DB01197,P12821
DB01200,P14416
DB01200,P08908
DB01200,P28223
DB01200,P25100
DB01200,P18825
DB01200,P35462
DB01200,P28221
DB01200,P28335
DB01200,P34969
DB01200,P21917
DB01200,P35368
DB01200,P28222
DB01200,P35348
DB01200,P08913
DB01200,P18089
DB01200,P21918
DB01200,P21728
DB01200,P41595
DB01202,Q7L0J3
DB01202,Q00975
DB01203,P08588
DB01203,P07550
DB01204,P11388
DB01210,P08588
DB01210,P07550
DB01214,P08588
DB01214,P07550
DB01216,P31213
DB01216,P18405
DB01216,P51857
DB01217,P11511
DB01219,P21817
DB01221,Q693P7
DB01221,P14416
DB01221,P28223
DB01221,P08908
DB01221,P35372
DB01221,P29475
DB01221,Q8TCU5
DB01221,P25103
DB01221,P41143
DB01221,P46098
DB01221,P11229
DB01221,P06276
DB01221,P23975
DB01221,P41145
DB01222,P04150
DB01222,P04083
DB01223,P30542
DB01223,Q92769
DB01223,P0DMS8
DB01223,Q14432
DB01224,P35462
DB01224,P46098
DB01224,P08172
DB01224,P21917
DB01224,P28223
DB01224,P28221
DB01224,P28335
DB01224,P28222
DB01224,P28566
DB01224,P21918
DB01224,P21728
DB01224,P35367
DB01224,P08908
DB01224,P14416
DB01224,P20309
DB01224,P18089
DB01224,P50406
DB01224,P08173
DB01224,P18825
DB01224,P35348
DB01224,P08913
DB01224,P11229
DB01224,P08912
DB01224,P34969
DB01225,P00742
DB01225,P01008
DB01228,Q14524
DB01229,O75469
DB01229,Q9H4B7
DB01229,P10415
DB01229,P11137
DB01229,P10636
DB01229,P27816
DB01231,P11229
DB01231,P08172
DB01231,P20309
DB01233,P11229
DB01233,P14416
DB01233,P46098
DB01233,Q13639
DB01234,P04150
DB01234,O75469
DB01234,P51843
DB01234,P35228
DB01234,P04083
DB01235,P14416
DB01235,P35462
DB01235,P21917
DB01235,P21918
DB01235,P21728
DB01237,P35367
DB01238,P35372
DB01238,P35462
DB01238,P46098
DB01238,Q9Y5N1
DB01238,P35368
DB01238,P08172
DB01238,P21917
DB01238,P28223
DB01238,P28221
DB01238,P28335
DB01238,P41143
DB01238,P28222
DB01238,P28566
DB01238,Q9H3N8
DB01238,P21918
DB01238,P21728
DB01238,P41595
DB01238,Q05586
DB01238,P35367
DB01238,P08908
DB01238,P14416
DB01238,P20309
DB01238,P31645
DB01238,P18089
DB01238,P07550
DB01238,P50406
DB01238,P08173
DB01238,P18825
DB01238,P08588
DB01238,P25021
DB01238,Q01959
DB01238,P35348
DB01238,P08913
DB01238,P11229
DB01238,P08912
DB01238,P47898
DB01238,P34969
DB01238,P41145
DB01240,P43119
DB01240,Q9H244
DB01240,Q16647
DB01241,Q07869
DB01241,Q9Y6L6
DB01241,Q9NPD5
DB01241,O94956
DB01241,Q8TCC7
DB01242,P28223
DB01242,P28335
DB01242,P31645
DB01242,P23975
DB01242,P09211
DB01242,P41595
DB01244,P63316
DB01244,P54750
DB01244,P51787
DB01244,P0DP23
DB01244,Q12809
DB01244,Q9NY47
DB01244,O00555
DB01244,O95180
DB01244,Q01064
DB01244,P05023
DB01246,P35367
DB01248,O75469
DB01248,Q9H4B7
DB01248,P10415
DB01248,P11137
DB01248,P10636
DB01248,P27816
DB01250,P51580
DB01250,P01579
DB01254,P09769
DB01254,Q06203
DB01254,P00519
DB01254,P09619
DB01254,P54756
DB01254,P06239
DB01254,P07947
DB01254,Q92570
DB01254,P10721
DB01254,P42685
DB01254,P12931
DB01254,P11142
DB01254,P42684
DB01254,P06241
DB01254,P54760
DB01254,P29317
DB01254,Q9NYL2
DB01254,P41240
DB01254,P11274
DB01254,Q16539
DB01254,P51692
DB01254,P07948
DB01254,Q06187
DB01255,Q96RJ0
DB01259,P00533
DB01259,P04626
DB01260,P04150
DB01261,P27487
DB01262,P26358
DB01267,P28223
DB01267,P14416
DB01267,P08908
DB01267,P18825
DB01267,P35462
DB01267,P28221
DB01267,P28335
DB01267,P34969
DB01267,P35368
DB01267,P35348
DB01267,P08913
DB01267,P18089
DB01267,P21728
DB01267,P21917
DB01267,P35367
DB01268,P35968
DB01268,P16234
DB01268,P07333
DB01268,P17948
DB01268,P10721
DB01268,P36888
DB01268,P09619
DB01268,P35916
DB01275,Q16665
DB01275,Q16853
DB01275,P13674
DB01283,P35354
DB01283,P23219
DB01291,P08588
DB01291,P07550
DB01296,Q00653
DB01296,P01579
DB01296,P01375
DB01296,P14780
DB01320,Q14524
DB01327,P60568
DB01327,P40933
DB01327,P27169
DB01351,P14867
DB01351,P43681
DB01351,P47869
DB01351,P31644
DB01351,P48169
DB01351,Q16445
DB01351,P34903
DB01351,P42262
DB01351,Q13002
DB01351,P36544
DB01359,P08588
DB01359,P28222
DB01359,P07550
DB01359,P08908
DB01364,P23975
DB01364,P35348
DB01364,P07550
DB01364,P08588
DB01367,P27338
DB01367,P10415
DB01394,P07437
DB01395,P04150
DB01395,P06401
DB01395,P08235
DB01395,P10275
DB01399,P35354
DB01399,P23219
DB01400,P22303
DB01403,P25100
DB01403,P35462
DB01403,P35368
DB01403,P08172
DB01403,P21917
DB01403,P28223
DB01403,P28335
DB01403,P21918
DB01403,P21728
DB01403,P35367
DB01403,P14416
DB01403,P20309
DB01403,P18089
DB01403,P08173
DB01403,P18825
DB01403,P11229
DB01403,P08912
DB01403,P35348
DB01403,P08913
DB01406,P30968
DB01406,P10275
DB01406,P03372
DB01406,P13500
DB01406,P06401
DB01406,Q96P88
DB01410,P04150
DB01427,P01375
DB01427,P27815
DB01427,Q14432
DB01427,Q13370
DB01440,P18505
DB01440,Q9HAB3
DB01576,Q96RJ0
DB01576,Q05940
DB01576,P35368
DB01576,Q01959
DB01576,P35348
DB01576,P23975
DB01577,Q96RJ0
DB01577,P54219
DB01577,P18825
DB01577,P27338
DB01577,Q05940
DB01577,Q01959
DB01577,P31645
DB01577,P21397
DB01577,P08913
DB01577,P18089
DB01577,P23975
DB01579,P23975
DB01579,P35348
DB01579,P35368
DB01590,P42345
DB01611,Q9NYK1
DB01611,Q9NR96
DB01611,Q9BYF1
DB01620,Q9H3N8
DB01620,Q14994
DB01620,P35367
DB01623,P21728
DB01623,P14416
DB01623,P28223
DB01628,P35354
DB02546,Q9BY41
DB02546,O15379
DB02546,Q92769
DB02546,Q13547
DB02546,Q9UBN7
DB04844,P14416
DB04844,Q05940
DB04861,P08588
DB04861,P07550
DB04861,P13945
DB04865,P39023
DB04868,P10721
DB04868,P00519
DB05271,P14416
DB05271,P08908
DB05271,P35462
DB05271,P21917
DB05271,P18089
DB05271,P21918
DB05271,P21728
DB06196,P30411
DB06196,P15144
DB06201,Q15858
DB06201,P41594
DB06268,P24530
DB06268,P25101
DB06287,P42345
DB06718,P10275
DB08799,P35367
DB08801,P08172
DB08801,P35367
DB08804,P10275
DB08820,P13569
DB08896,P35968
DB08896,Q15759
DB08896,P15056
DB08896,P07949
DB08896,P16234
DB08896,Q16832
DB08896,P04629
DB08896,P17948
DB08896,Q02763
DB08896,P10721
DB08896,P11362
DB08896,P29317
DB08896,P21802
DB08896,P42685
DB08896,P00519
DB08896,P09619
DB08896,P35916
DB08896,P04049
DB08901,P22455
DB08901,P35968
DB08901,P11274
DB08901,P22607
DB08901,P07948
DB08901,P07949
DB08901,P16234
DB08901,P06239
DB08901,P10721
DB08901,P11362
DB08901,P00519
DB08901,P36888
DB08901,P21802
DB08901,Q02763
DB08901,P12931
DB08906,P06401
DB08906,P04150
DB08906,P08235
DB08907,P31639
